"spec_1","comparison","site","binned_dia","n_per_bin","p_mort","mid"
"Acropora","2016_2018","HAA","(0,2]",2,0.5,1
"Acropora","2016_2018","HAA","(2,4]",8,0,3
"Acropora","2016_2018","HAA","(4,6]",4,0.25,5
"Acropora","2016_2018","HAA","(6,8]",2,0,7
"Acropora","2016_2018","HAA","(8,10]",1,0,9
"Acropora","2016_2018","HAA","(10,12]",2,0,11
"Acropora","2016_2018","HAA","(12,14]",3,0,13
"Acropora","2016_2018","HAA","(16,18]",1,0,17
"Acropora","2016_2018","HAA","(20,22]",1,0,21
"Acropora","2018_2020","HAA","(0,2]",3,0.666666666666667,1
"Acropora","2018_2020","HAA","(2,4]",9,0.666666666666667,3
"Acropora","2018_2020","HAA","(4,6]",12,0.833333333333333,5
"Acropora","2018_2020","HAA","(6,8]",4,1,7
"Acropora","2018_2020","HAA","(8,10]",4,0.75,9
"Acropora","2018_2020","HAA","(10,12]",3,1,11
"Acropora","2018_2020","HAA","(12,14]",1,1,13
"Acropora","2018_2020","HAA","(14,16]",1,1,15
"Acropora","2018_2020","HAA","(16,18]",2,1,17
"Acropora","2018_2020","HAA","(18,20]",3,1,19
"Acropora","2018_2020","HAA","(20,22]",1,1,21
"Acropora","2018_2020","HAA","(22,24]",1,1,23
"Acropora","2018_2020","HAA","(26,28]",1,1,27
"Acropora","2018_2020","HAA","(30,32]",1,1,31
"Acropora","2020_2022","HAA","(0,2]",4,0.75,1
"Acropora","2020_2022","HAA","(2,4]",7,0.285714285714286,3
"Acropora","2020_2022","HAA","(4,6]",4,0.5,5
"Acropora","2020_2022","HAA","(6,8]",3,0.333333333333333,7
"Pocillopora","2016_2018","HAA","(0,2]",58,0.448275862068966,1
"Pocillopora","2016_2018","HAA","(2,4]",140,0.45,3
"Pocillopora","2016_2018","HAA","(4,6]",74,0.337837837837838,5
"Pocillopora","2016_2018","HAA","(6,8]",51,0.196078431372549,7
"Pocillopora","2016_2018","HAA","(8,10]",43,0.209302325581395,9
"Pocillopora","2016_2018","HAA","(10,12]",35,0.142857142857143,11
"Pocillopora","2016_2018","HAA","(12,14]",25,0.08,13
"Pocillopora","2016_2018","HAA","(14,16]",11,0.0909090909090909,15
"Pocillopora","2016_2018","HAA","(16,18]",9,0,17
"Pocillopora","2016_2018","HAA","(18,20]",6,0,19
"Pocillopora","2016_2018","HAA","(20,22]",6,0.333333333333333,21
"Pocillopora","2016_2018","HAA","(22,24]",2,0,23
"Pocillopora","2016_2018","HAA","(24,26]",2,0,25
"Pocillopora","2016_2018","HAA","(26,28]",1,0,27
"Pocillopora","2016_2018","HAA","(28,30]",1,0,29
"Pocillopora","2018_2020","HAA","(0,2]",15,0.6,1
"Pocillopora","2018_2020","HAA","(2,4]",66,0.621212121212121,3
"Pocillopora","2018_2020","HAA","(4,6]",68,0.485294117647059,5
"Pocillopora","2018_2020","HAA","(6,8]",60,0.4,7
"Pocillopora","2018_2020","HAA","(8,10]",46,0.434782608695652,9
"Pocillopora","2018_2020","HAA","(10,12]",39,0.435897435897436,11
"Pocillopora","2018_2020","HAA","(12,14]",33,0.363636363636364,13
"Pocillopora","2018_2020","HAA","(14,16]",19,0.421052631578947,15
"Pocillopora","2018_2020","HAA","(16,18]",18,0.388888888888889,17
"Pocillopora","2018_2020","HAA","(18,20]",17,0.470588235294118,19
"Pocillopora","2018_2020","HAA","(20,22]",4,0.25,21
"Pocillopora","2018_2020","HAA","(22,24]",5,0.8,23
"Pocillopora","2018_2020","HAA","(24,26]",5,0.6,25
"Pocillopora","2018_2020","HAA","(26,28]",5,0.8,27
"Pocillopora","2018_2020","HAA","(28,30]",4,1,29
"Pocillopora","2018_2020","HAA","(30,32]",2,0.5,31
"Pocillopora","2018_2020","HAA","(32,34]",1,1,33
"Pocillopora","2018_2020","HAA","(34,36]",1,0,35
"Pocillopora","2018_2020","HAA","(36,38]",3,0.666666666666667,37
"Pocillopora","2018_2020","HAA",NA,1,1,NA
"Pocillopora","2020_2022","HAA","(0,2]",17,0.88235294117647,1
"Pocillopora","2020_2022","HAA","(2,4]",55,0.872727272727273,3
"Pocillopora","2020_2022","HAA","(4,6]",53,0.773584905660377,5
"Pocillopora","2020_2022","HAA","(6,8]",43,0.651162790697674,7
"Pocillopora","2020_2022","HAA","(8,10]",40,0.65,9
"Pocillopora","2020_2022","HAA","(10,12]",29,0.620689655172414,11
"Pocillopora","2020_2022","HAA","(12,14]",22,0.545454545454545,13
"Pocillopora","2020_2022","HAA","(14,16]",14,0.571428571428571,15
"Pocillopora","2020_2022","HAA","(16,18]",13,0.538461538461538,17
"Pocillopora","2020_2022","HAA","(18,20]",8,0.125,19
"Pocillopora","2020_2022","HAA","(20,22]",3,0.666666666666667,21
"Pocillopora","2020_2022","HAA","(22,24]",1,1,23
"Pocillopora","2020_2022","HAA","(26,28]",2,0.5,27
"Pocillopora","2020_2022","HAA","(28,30]",1,0,29
